"Type","Title","Director","Cast","Country","Date_added","Release_year","Rating","Duration","Listed_in","Age","IMDb","Rotten.Tomatoes","Netflix","Hulu","Prime.Video","Disney","Rating_category","Age_years","Cross_platform_score","Overall_score"
"TV Show","Horrid Henry","","Lizzie Waterworth, Joanna Ruiz, Emma Tate, Sue Elliot Nicholls, Tamsin Heatley, Wayne Forester, Aidan Cook, Stephanie Anne Mills, David Holt","United Kingdom","January 11, 2019",2019,"TV-Y7","2 Seasons","British TV Shows, Kids' TV, TV Comedies","7+","6.4/10","44/100",1,0,1,0,"Low",5,0.5,0.54
"TV Show","Pocoyo","","Stephen Fry, Alex Marty","Spain, United Kingdom","January 10, 2019",2017,"TV-Y","4 Seasons","Kids' TV, Spanish-Language TV Shows","all","7.4/10","48/100",1,1,1,0,"Low",7,0.75,0.61
"TV Show","When Heroes Fly","","Tomer Kapon, Ninet Tayeb, Michael Aloni, Nadav Nates, Moshe Ashkenazi, Vanessa Chaplot, Yael Sharoni, Gil Frank, Oded Fehr, Dan Mor","Israel","January 10, 2019",2018,"TV-MA","1 Season","International TV Shows, TV Action & Adventure, TV Dramas","7+","7.2/10","55/100",1,0,0,0,"High",6,0.25,0.635
"TV Show","See You in Time","","Hans Chung, Mini Tsai, Albee Huang, David Chiu, Johnny Yang, Kuan Lin, Ray Yang, Liu Yu Shan","","January 4, 2019",2017,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","","7.1/10","33/100",1,0,0,0,"Medium",7,0.25,0.52
"TV Show","A Series of Unfortunate Events","","Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes, K. Todd Freeman, Joan Cusack, Aasif Mandvi","United States","January 1, 2019",2019,"TV-PG","3 Seasons","Kids' TV, TV Action & Adventure, TV Comedies","7+","7.8/10","79/100",1,0,0,0,"Low",5,0.25,0.785
"TV Show","COMEDIANS of the world","","Neal Brennan, Chris D'Elia, Nicole Byer, Nick Swardson, DeAnne Smith, Ivan Decker, Dave Merheje, K. Trevor Wilson, Joel Dommett, Mae Martin, Nish Kumar, Ellie Taylor, Urzila Carlson, Joel Creasey, Nazeem Hussain, Cal Wilson, Riaad Moosa, Tumi Morake, Loyiso Gola, Loyiso Madinga, Atul Khatri, Aditi Mittal, Amit Tandon, Franco Escamilla, Hugo El Cojo Feliz, Gaby Llanas, Enissa Amani, Ilka Bessin, Kaya Yanar, Thiago Ventura, Mhel Merrer, Afonso Padilha, Shirley Souagnon, Jason Brokerss, Tania Dutel, Donel Jack'sman, Ibraheem Alkhairallah, Rawsan Hallak, Adi Khalefa, Moayad Alnefaie, Louis-José Houde, François Bellefeuille, Katherine Levac, Adib Alkhalidey, Martijn Koning, Soundos El Ahmadi, Rayen Panday","United States","January 1, 2019",2019,"TV-MA","13 Seasons","Stand-Up Comedy & Talk Shows, TV Comedies","","6.4/10","39/100",1,0,0,0,"High",5,0.25,0.515
"TV Show","The Paper","","Branka Katić, Trpimir Jurkic, Aleksandar Cvetković, Zijad Gračić, Olga Pakalović, Goran Markovic, Edita Karađole, Zdenko Jelcic, Tihana Lazovic, Mijo Jurišić, Dajana Čuljak, Alen Liverić, Anja Matković, Dragan Despot","Croatia","January 1, 2019",2018,"TV-MA","2 Seasons","International TV Shows, TV Dramas","","8.1/10","52/100",1,0,0,0,"High",6,0.25,0.665
"TV Show","Tidying Up with Marie Kondo","","Marie Kondo","United States","January 1, 2019",2019,"TV-PG","1 Season","Reality TV","7+","6.6/10","61/100",1,0,0,0,"Low",5,0.25,0.635
"TV Show","In Family We Trust","","Songsit Roongnophakunsri, Saksit Tangtong, Kathaleeya McIntosh, Sopitnapa Choompanee, Apasiri Nitibhon, Phollawat Manuprasert, Nappon Gomarachun, Patravadi Mejudhon, Kejmanee Wattanasin, Supoj Chancharoen, Pimmara Charoenpakdee, Thanapob Leeratanakajorn, Kritsanapoom Pibulsonggram, Teeradon Supapunpinyo, Kongyingyong Chonlathorn, Lapat Ngamchaweng, Sivakorn Adulsuttikul, Paris Intarakomalyasut, Jackrin Kungwankiatichai, Vachirawich Aranthanawong, Sawanya Paisarnpayak, Kanyawee Songmuang, Pitisak Yaowananon, Chavalit Chittanant, Thaneth Warakulnukroh","Thailand","December 29, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","","8.1/10","45/100",1,0,0,0,"High",6,0.25,0.63
"TV Show","Murder Mountain","","","United States","December 28, 2018",2018,"TV-MA","1 Season","Crime TV Shows, Docuseries","16+","6.9/10","54/100",1,0,0,0,"High",6,0.25,0.615
"TV Show","Selection Day","","Mohammad Samad, Yash Shashank Dholye, Rajesh Tailang, Mahesh Manjrekar, Karanvir Malhotra, Ratna Pathak Shah, Akshay Oberoi","India","December 28, 2018",2018,"TV-14","1 Season","International TV Shows, TV Dramas, Teen TV Shows","16+","7.4/10","55/100",1,0,0,0,"Medium",6,0.25,0.645
"TV Show","Way Back into Love","","June Tsai, Ray Chang, Lung Shao-hua, Yi-Wen Yen, Ching-kuan Wang, Mai Sato","Taiwan","December 24, 2018",2011,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","6.6/10","31/100",1,0,0,0,"Medium",13,0.25,0.485
"TV Show","Watership Down","Noam Murro","James McAvoy, Nicholas Hoult, John Boyega, Ben Kingsley, Tom Wilkinson, Gemma Arterton, Peter Capaldi, Olivia Colman, Mackenzie Crook, Anne-Marie Duff, Taron Egerton, James Faulkner, Freddie Fox, Lee Ingleby, Miles Jupp, Daniel Kaluuya, Rory Kinnear, Craig Parkinson, Rosamund Pike, Daniel Rigby, Jason Watkins","United Kingdom, Ireland, United States","December 23, 2018",2018,"TV-PG","1 Season","British TV Shows, International TV Shows, TV Action & Adventure","7+","7.2/10","64/100",1,0,0,0,"Low",6,0.25,0.68
"TV Show","People Just Do Nothing","","Allan Mustafa, Hugo Chegwin, Asim Chaudhry, Lily Brazier, Olivia Jasmine Edwards, Dan Sylvester, Steve Stamp, Ruth Bratt, George Keywood, Maria Louis","United Kingdom","December 22, 2018",2018,"TV-MA","5 Seasons","British TV Shows, TV Comedies","18+","8.5/10","61/100",1,0,0,0,"High",6,0.25,0.73
"TV Show","Single Ladies Senior","","Summer Meng, Christina Mok, Alina Cheng, Bonnie Wang","","December 22, 2018",2018,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","","","38/100",1,0,0,0,"High",6,0.25,NA
"TV Show","Jojo's World","","Tia Lee, In Deok Hwang, Yen-j, Jason Hsu, Andy Wu, Sharon Hsu","Taiwan","December 21, 2018",2017,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","6.6/10","31/100",1,0,0,0,"Medium",7,0.25,0.485
"TV Show","Lion Pride","","Yen Tsao, Amanda Chou, Kevin Liu, Peace Yang, Kenny Wen, Tzu-chiang Chao, Vince Kao, Lin Ching-Tai, Lin He Xuan, Michael Yang","Taiwan","December 21, 2018",2017,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","7.3/10","35/100",1,0,0,0,"High",7,0.25,0.54
"TV Show","Perfume","","Friederike Becht, August Diehl, Wotan Wilke Möhring, Natalia Belitski, Ken Duken, Trystan Pütter, Christian Friedel, Juergen Maurer, Marc Hosemann, Susanne Wuest","Germany","December 21, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","18+","7.1/10","56/100",1,0,0,0,"High",6,0.25,0.635
"TV Show","Sirius the Jaeger","","Yuto Uemura, Takahiro Sakurai, Kenyu Horiuchi, Nanako Mori, Yusuke Kobayashi, Shunsuke Takeuchi, Junji Majima, Rie Takahashi, Hinata Tadokoro, Kenjiro Tsuda, Takehito Koyasu, Sayaka Ohara, Nobuo Tobita","Japan","December 21, 2018",2018,"TV-MA","1 Season","Anime Series, International TV Shows, TV Thrillers","16+","6.8/10","54/100",1,0,0,0,"High",6,0.25,0.61
"TV Show","Ellen DeGeneres: Relatable","Joel Gallen, Tig Notaro","Ellen DeGeneres","United States","December 18, 2018",2018,"TV-MA","1 Season","Stand-Up Comedy & Talk Shows, TV Comedies","16+","6.5/10","49/100",1,0,0,0,"High",6,0.25,0.57
"TV Show","Ashes of Love","","Yang Zi, Deng Lun, Luo Yunxi","China","December 16, 2018",2018,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","7+","8.4/10","53/100",1,0,0,0,"Medium",6,0.25,0.685
"TV Show","Flowers","","Olivia Colman, Julian Barratt, Daniel Rigby, Sophia Di Martino, Leila Hoffman, Will Sharpe, Harriet Walter","United Kingdom","December 15, 2018",2018,"TV-MA","2 Seasons","British TV Shows, International TV Shows, TV Comedies","","8.2/10","72/100",1,0,0,0,"High",6,0.25,0.77
"TV Show","Hymn of Death","","Lee Jong-suk, Shin Hye-sun, Kim Myeong-su, Park Seon-im, Kim Won-hae, Hwang Yeong-hee, Lee Ji-hoon, Go Bo-gyeol, Shin Jae-ha","South Korea","December 14, 2018",2018,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","18+","7.5/10","50/100",1,0,0,0,"Medium",6,0.25,0.625
"TV Show","The Fix","","Jimmy Carr, D.L. Hughley, Katherine Ryan","United States","December 14, 2018",2018,"TV-MA","1 Season","TV Comedies","18+","7.1/10","45/100",1,0,0,0,"High",6,0.25,0.58
"TV Show","The Innocent Man","","John Grisham","United States","December 14, 2018",2018,"TV-MA","1 Season","Crime TV Shows, Docuseries","18+","7.3/10","65/100",1,0,0,0,"High",6,0.25,0.69
"TV Show","Tidelands","","Charlotte Best, Elsa Pataky, Marco Pigossi, Aaron Jakubenko, Mattias Inwood, Dalip Sondhi, Alex Dimitriades, Richard Davies, Caroline Brazier, Peter O'Brien, Madeleine Madden","Australia","December 14, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","18+","7.0/10","66/100",1,0,0,0,"High",6,0.25,0.68
"TV Show","Travelers","","Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Paul Abrahamson, Reilly Dolman, Patrick Gilmore","Canada, United States","December 14, 2018",2018,"TV-MA","3 Seasons","Crime TV Shows, International TV Shows, TV Dramas","16+","8.1/10","77/100",1,0,0,0,"High",6,0.25,0.79
"TV Show","Voltron: Legendary Defender","","Jeremy Shada, Tyler Labine, Bex Taylor-Klaus, Josh Keaton, Steven Yeun, Kimberly Brooks, Rhys Darby, A.J. LoCascio","United States","December 14, 2018",2018,"TV-Y7","8 Seasons","Kids' TV","7+","8.1/10","69/100",1,0,0,0,"Low",6,0.25,0.75
"TV Show","Dogs of Berlin","","Felix Kramer, Fahri Yardim, Anna Maria Mühe, Katharina Schüttler, Alina Stiegler, Urs Rechn, Sinan Farhangmehr, Kais Setti, Mohamed Issa, Hauke Diekamp, David Bennent, Deniz Orta, Katrin Saß, Sebastian Zimmler","Germany","December 7, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","16+","7.6/10","59/100",1,0,0,0,"High",6,0.25,0.675
"TV Show","Neo Yokio","","Jaden Smith, Jude Law, Tavi Gevinson, Susan Sarandon, Desus Nice, The Kid Mero, Richard Ayoade, Willow Smith, Kiernan Shipka, Jason Schwartzman, Amandla Stenberg, Ray Wise","United States","December 7, 2018",2018,"TV-MA","2 Seasons","TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows","18+","5.9/10","52/100",1,0,0,0,"High",6,0.25,0.555
"TV Show","Pine Gap","Mat King","Parker Sawyers, Jacqueline McKenzie, Steve Toussaint, Tess Haubrich, Stephen Curry, Lewis Fitz-Gerald, Mark Leonard Winter","Australia","December 7, 2018",2018,"TV-MA","1 Season","International TV Shows, TV Dramas","16+","7.2/10","62/100",1,0,0,0,"High",6,0.25,0.67
"TV Show","The Sound of Your Heart: Reboot","","Sung Hoon, Kwon Yuri, Tae Hang-ho, Joo Jin-mo, Shim Hye-jin, Ji Su-won, Park Cheol-min, Kim Seong-won, Kang Yoon, Seo Eun-ah, Bae Yoon-kyung","South Korea","December 3, 2018",2018,"TV-14","2 Seasons","International TV Shows, Korean TV Shows, TV Comedies","7+","5.9/10","33/100",1,0,0,0,"Medium",6,0.25,0.46
"TV Show","Memories of the Alhambra","","Hyun Bin, Park Shin-hye, Park Hoon, Kim Yong-rim, Chanyeol, Lee Re, Lee Hak Joo, Lee Si-won, Kim Eui-sung","South Korea","December 2, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Korean TV Shows","16+","7.8/10","60/100",1,0,0,0,"High",6,0.25,0.69
"TV Show","1983","","Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach","Poland, United States","November 30, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","18+","6.8/10","67/100",1,0,0,0,"High",6,0.25,0.675
"TV Show","Death by Magic","","Drummond Money-Coutts","United States","November 30, 2018",2018,"TV-PG","1 Season","Reality TV","7+","6.1/10","41/100",1,0,0,0,"Low",6,0.25,0.51
"TV Show","Love and Fortune","","Eri Tokunaga, Daichi Watanabe, Fuju Kamio, Sairi Ito, Mina Fujii, Mansaku Ikeuchi, Kinuo Yamada, Yuka Ogura, Enon Kawatani, Yui Imaizumi, Noriko Eguchi, Masanobu Ando, Kitaro","Japan","November 30, 2018",2018,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","","7.0/10","46/100",1,0,0,0,"High",6,0.25,0.58
"TV Show","Spy Kids: Mission Critical","","Ashley Bornancin, Carter Hastings, Caitlyn Bairstow, Nicholas Coombe, Nesta Cooper, Richard Ian Cox, Tom Kenny, Travis Turner, Candi Milo, Mira Sorvino","United States, Canada","November 30, 2018",2018,"TV-Y7","2 Seasons","Kids' TV","all","4.9/10","39/100",1,0,0,0,"Low",6,0.25,0.44
"TV Show","Bumping Mics with Jeff Ross & Dave Attell","","Jeff Ross, Dave Attell","United States","November 27, 2018",2018,"TV-MA","1 Season","Stand-Up Comedy & Talk Shows, TV Comedies","18+","7.7/10","50/100",1,0,0,0,"High",6,0.25,0.635
"TV Show","Minecraft: Story Mode","","Patton Oswalt, Catherine Taber, Sean Astin, Melissa Hutchison, Ashley Johnson, Matthew Mercer, Jim Meskimen, Martha Plimpton, Scott Porter, Brian Posehn, Paul Reubens, Billy West, Dave Fennoy","United States, Sweden","November 27, 2018",2015,"TV-PG","1 Season","Kids' TV","7+","5.7/10","46/100",1,0,0,0,"Low",9,0.25,0.515
"TV Show","Frontier","","Jason Momoa, Landon Liboiron, Alun Armstrong, Jessica Matten, Zoe Boyle, Allan Hawco, Evan Jonigkeit, Katie McGrath","Canada","November 23, 2018",2018,"TV-MA","3 Seasons","International TV Shows, TV Action & Adventure, TV Dramas","18+","7.2/10","71/100",1,0,0,0,"High",6,0.25,0.715
"TV Show","Fugitiva","","Paz Vega, Julio Bracho, Arantza Ruiz, Luisa Rubino, Lander Otaola, Iván Pellicer, José Manuel Poga, Mercedes Sampietro, Charo López, Roberto Álamo, Raúl Medina, Melina Matthews, Pedro Mari Sánchez, Odiseo Bichir","Spain","November 23, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","18+","5.7/10","39/100",1,0,0,0,"High",6,0.25,0.48
"TV Show","Sick Note","","Rupert Grint, Nick Frost, Don Johnson, Lindsay Lohan, Pippa Bennett-Warner, Marama Corlett, Karl Theobald, Belinda Stewart-Wilson, Camilla Beeput, Dustin Demri-Burns, Tolu Ogunmefun","United Kingdom","November 23, 2018",2018,"TV-MA","2 Seasons","British TV Shows, International TV Shows, TV Comedies","18+","6.8/10","63/100",1,0,0,0,"High",6,0.25,0.655
"TV Show","Mystery Science Theater 3000: The Return","","Felicia Day, Patton Oswalt, Jonah Ray, Baron Vaughn, Hampton Yount","United States","November 22, 2018",2018,"TV-14","2 Seasons","TV Comedies, TV Sci-Fi & Fantasy","16+","8.0/10","64/100",1,0,0,0,"Medium",6,0.25,0.72
"TV Show","Kulipari: Dream Walker","","Charlie Adler, Mark Hamill, Jess Harnell, Phil LaMarr, Josh Keaton, Mikey Kelley, Amy Margolis, Wendie Malick, Kevin Michael Richardson, Candi Milo, Laraine Newman","","November 20, 2018",2018,"TV-Y7","1 Season","Kids' TV","all","7.6/10","34/100",1,0,0,0,"Low",6,0.25,0.55
"TV Show","The Final Table","","Andrew Knowlton","United States","November 20, 2018",2018,"TV-PG","1 Season","Reality TV","all","7.7/10","59/100",1,0,0,0,"Low",6,0.25,0.68
"TV Show","Eternal Love","","Yang Mi, Mark Chao, Dilraba Dilmurat, Ken Chang, Vengo Gao, Huang Mengying","China","November 17, 2018",2017,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","7+","8.3/10","54/100",1,0,0,0,"Medium",7,0.25,0.685
"TV Show","La Doña","","Aracely Arámbula, David Chocarro, Danna Paola, Rebecca Jones, Odiseo Bichir, Gabriela Roel, Andrea Martí, Juan Ríos Cantú, Diego Soldano, Daniela Bascopé","United States, Mexico","November 17, 2018",2016,"TV-14","1 Season","Spanish-Language TV Shows, TV Dramas","16+","7.2/10","51/100",1,0,0,0,"Medium",8,0.25,0.615
"TV Show","Silvana Sin Lana","","Maritza Rodríguez, Carlos Ponce, Marimar Vega, Adriana Barraza, Marcela Guirado, Ricardo Abarca, Thali García, Alexandra Pomales, Briggitte Bozzo, Santiago Torres, Patricio Gallardo, Roberto Escobar, Samantha Dagnino, Raury Rolander, Vince Miranda, Javier Valcárcel","United States","November 17, 2018",2016,"TV-14","1 Season","Romantic TV Shows, Spanish-Language TV Shows, TV Comedies","16+","7.5/10","45/100",1,0,0,0,"Medium",8,0.25,0.6
"TV Show","Ponysitters Club","","Morgan Neundorf, Madeline Leon, Khiyla Aynne, Cailan Laine Punnewaert, Zyon Allen, Maya Franzoi, Victoria Tomazelli, Hugh Wilson, Diana Chrisman","Canada","November 16, 2018",2018,"TV-G","2 Seasons","Kids' TV, TV Dramas","all","7.1/10","33/100",1,0,0,0,"Low",6,0.25,0.52
"TV Show","Vai Anitta","","Anitta","Brazil","November 16, 2018",2018,"TV-MA","1 Season","Docuseries, International TV Shows, Reality TV","","5.5/10","35/100",1,0,0,0,"High",6,0.25,0.45
"TV Show","Warrior","","Dar Salim, Danica Curcic, Lars Ranthe, Marco Ilsø, Søren Malling, Jakob Oftebro","Denmark","November 13, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","","6.7/10","48/100",1,0,0,0,"High",6,0.25,0.575
"TV Show","Age of Tanks","","","Germany, France, Russia","November 10, 2018",2017,"TV-PG","1 Season","Docuseries, International TV Shows, Science & Nature TV","18+","7.3/10","44/100",1,0,0,0,"Low",7,0.25,0.585
"TV Show","Medal of Honor","","Oliver Hudson, Ben Schwartz, Paul Wesley, Aldis Hodge, Jonny Weston, Joseph Cross, Jake Abel, Derek Mio","United States","November 9, 2018",2018,"TV-MA","1 Season","Docuseries, TV Dramas","16+","8.4/10","55/100",1,0,1,0,"High",6,0.5,0.695
"TV Show","Super Drags","","Fernando Mendonça, Sérgio Cantú, Wagner Follare, Pabllo Vittar, Silvetty Montilla, Rapha Vélez, Sylvia Salustti, Guilherme Briggs","Brazil","November 9, 2018",2018,"TV-MA","1 Season","International TV Shows, TV Comedies","18+","5.6/10","47/100",1,0,0,0,"High",6,0.25,0.515
"TV Show","The Queen of Flow","","Carolina Ramírez, Carlos Torres, Andrés Sandoval, Adriana Arango, Mabel Moreno, Luis Alfredo Velasco, Pacho Rueda, Diana Wiswell, Mariana Garzón, Kiño, Sebastián Silva, Mariana Gómez, María José Vargas, Guillermo Blanco, Juan Manuel Restrepo, Alejandro Otero, David Ojalvo","Colombia","November 9, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","18+","7.8/10","53/100",1,0,0,0,"High",6,0.25,0.655
"TV Show","Treehouse Detectives","","Brody Allen, Jenna Davis, Ryan Bartley, Philece Sampler, Leigh Kelly, Abby Trott","South Korea, United States","November 9, 2018",2018,"TV-Y","2 Seasons","Kids' TV, TV Thrillers","","7.1/10","31/100",1,0,0,0,"Low",6,0.25,0.51
"TV Show","Westside","","","United States","November 9, 2018",2018,"TV-MA","1 Season","Reality TV","16+","6.2/10","42/100",1,0,1,0,"High",6,0.5,0.52
"TV Show","Transfers","","Arieh Worthalter, Brune Renault, Toinette Laquiere, Steve Tientcheu, Pili Groyne, Patrick Descamps, Patrick Raynal, Juliette Plumecocq-Mech, Sébastien Chassagne, Alexis Loret, Aissatou Diop","France, Belgium","November 8, 2018",2017,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Sci-Fi & Fantasy","","7.3/10","54/100",1,0,0,0,"High",7,0.25,0.635
"TV Show","Damnation","","Logan Marshall-Green, Killian Scott, Sarah Jones, Chasten Harmon, Christopher Heyerdahl, Melinda Page Hamilton, Joe Adler","United States","November 7, 2018",2017,"TV-MA","1 Season","Crime TV Shows, TV Dramas","18+","7.7/10","65/100",1,0,0,0,"High",7,0.25,0.71
"TV Show","Brainchild","","Sahana Srinivasan, Alie Ward, Ben Seidman","","November 2, 2018",2018,"TV-G","1 Season","Kids' TV","7+","8.1/10","47/100",1,0,0,0,"Low",6,0.25,0.64
"TV Show","Follow This","","John Stanton, Scaachi Koul, Azeen Ghorayshi, Bim Adewunmi, Juliane Loffler, Charlie Warzel","United States","November 1, 2018",2018,"TV-MA","3 Seasons","Docuseries","18+","4.9/10","42/100",1,0,0,0,"High",6,0.25,0.455
"TV Show","Terrorism Close Calls","","","United States, Czech Republic","October 26, 2018",2018,"TV-MA","1 Season","Crime TV Shows, Docuseries, International TV Shows","","5.2/10","40/100",1,0,0,0,"High",6,0.25,0.46
"TV Show","Great News","","Briga Heelan, Andrea Martin, Adam Campbell, John Michael Higgins, Horatio Sanz, Nicole Richie","United States","October 25, 2018",2017,"TV-14","2 Seasons","TV Comedies","7+","7.0/10","66/100",1,0,0,0,"Medium",7,0.25,0.68
"TV Show","Here to Heart","","Janine Chun-Ning Chang, Hans Zhang","China","October 23, 2018",2018,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","7+","7.4/10","39/100",1,0,0,0,"Medium",6,0.25,0.565
"TV Show","The Hollywood Masters","","","United States","October 23, 2018",2017,"TV-MA","3 Seasons","Stand-Up Comedy & Talk Shows","","7.3/10","44/100",1,0,0,0,"High",7,0.25,0.585
"TV Show","Ask the Doctor","","Shalin Naik, Renee Lim, Sandro Demaio","Australia","October 19, 2018",2017,"TV-PG","1 Season","Docuseries, International TV Shows, Science & Nature TV","","6.6/10","39/100",1,0,0,0,"Low",7,0.25,0.525
"TV Show","Best.Worst.Weekend.Ever.","","Sam Ashe Arnold, Cole Sand, Brianna Reed, Brittany Garms, Alison Becker, Larry Bates, Tiffany Espensen, Rachel Gage, Matt Battaglia, Affion Crockett","United States","October 19, 2018",2018,"TV-PG","1 Season","Kids' TV, TV Comedies","7+","6.4/10","38/100",1,0,0,0,"Low",6,0.25,0.51
"TV Show","Making a Murderer","","","United States","October 19, 2018",2018,"TV-14","2 Seasons","Crime TV Shows, Docuseries","16+","8.6/10","84/100",1,0,0,0,"Medium",6,0.25,0.85
"TV Show","Marvel's Daredevil","","Charlie Cox, Deborah Ann Woll, Elden Henson, Rosario Dawson, Vincent D'Onofrio, Jon Bernthal, Elodie Yung, Scott Glenn, Stephen Rider, Vondie Curtis-Hall, Ayelet Zurer, Toby Leonard Moore, Bob Gunton","United States","October 19, 2018",2018,"TV-MA","3 Seasons","Crime TV Shows, TV Action & Adventure","18+","8.6/10","90/100",1,0,0,0,"High",6,0.25,0.88
"TV Show","Project S The Series","","Wiwattanawarang Oabnithi, Mahayotaruk Thiti, Lerkcharoempoj Papangkorn, Imanothai Kawin, Sakuljaroensuk Apinya, Oat Pasakorn Sanrattana, Leeratanakajorn Thanapob, Skye Nateeton Wongrawee, Supapunpinyo Teeradon, Chansangavej Chayanit, Ketprapakorn Narikun, Pibunsonggram Kritsanapoom, Santinatornkul Chanon","Thailand","October 19, 2018",2017,"TV-MA","4 Seasons","International TV Shows, TV Dramas, Teen TV Shows","","","34/100",1,0,0,0,"High",7,0.25,NA
"TV Show","Wanderlust","","Toni Collette, Steven Mackintosh, Zawe Ashton, Joe Hurst, Emma D'Arcy, Celeste Dring, William Ash, Royce Pierreson, Jeremy Swift, Anastasia Hille, Isis Hainsworth, Sophie Okonedo","United Kingdom","October 19, 2018",2018,"TV-MA","1 Season","British TV Shows, International TV Shows, Romantic TV Shows","16+","7.1/10","60/100",1,0,0,0,"High",6,0.25,0.655
"TV Show","My Babysitter's a Vampire","","Matthew Knight, Vanessa Morgan, Atticus Mitchell, Cameron Kennedy, Kate Todd, Ari Cohen","Canada","October 17, 2018",2012,"TV-PG","2 Seasons","Kids' TV, TV Comedies","7+","7.1/10","58/100",1,0,0,0,"Low",12,0.25,0.645
"TV Show","Rake","","Richard Roxburgh, Matt Day, Adrienne Pickering, Russell Dykstra, Danielle Cormack, Caroline Brazier, Geoff Morrell, Kate Box, Keegan Joyce, Damien Garvey","Australia","October 16, 2018",2018,"TV-MA","5 Seasons","Crime TV Shows, International TV Shows, TV Comedies","16+","8.5/10","69/100",1,1,1,0,"High",6,0.75,0.77
"TV Show","Stunt Science","","","United Kingdom","October 15, 2018",2018,"TV-MA","1 Season","British TV Shows, International TV Shows, Reality TV","18+","5.0/10","30/100",1,0,0,0,"High",6,0.25,0.4
"TV Show","Edgar Rice Burroughs' Tarzan and Jane","","Marci T. House, Michael Dobson, Omari Newton, Paul Dobson, Rebecca Shoichet, Giles Panton, Kathleen Barr, Doron Bell","","October 12, 2018",2018,"TV-Y7","2 Seasons","Crime TV Shows, Kids' TV","7+","4.8/10","39/100",1,0,0,0,"Low",6,0.25,0.435
"TV Show","FIGHTWORLD","Padraic McKinley","Frank Grillo","","October 12, 2018",2018,"TV-MA","1 Season","Docuseries","18+","7.6/10","49/100",1,0,0,0,"High",6,0.25,0.625
"TV Show","The Curious Creations of Christine McConnell","","Christine McConnell, Colleen Smith, Adam Mayfield, Michael Oosterom, Drew Massey, Mick Ignis, Tim Lagasse, Dita von Teese, Steven M. Porter, Elko Weaver","United States","October 12, 2018",2018,"TV-PG","1 Season","TV Comedies, TV Mysteries","7+","7.8/10","62/100",1,0,0,0,"Low",6,0.25,0.7
"TV Show","The Haunting of Hill House","","Michiel Huisman, Carla Gugino, Timothy Hutton, Henry Thomas, Elizabeth Reaser, Oliver Jackson-Cohen, Kate Siegel, Victoria Pedretti, Lulu Wilson, Mckenna Grace, Paxton Singleton, Julian Hilliard, Violet McGraw","United States","October 12, 2018",2018,"TV-MA","1 Season","TV Dramas, TV Horror, TV Mysteries","18+","8.6/10","82/100",1,0,0,0,"High",6,0.25,0.84
"TV Show","Ordinary Heroes","","Giorgio Tirabassi, Marco Bocci, Cristiana Capotondi, Greta Scarano, Michela Cescon, Diane Fleri, Carlo Calderone, Claudio Gioè, Romina Mondello, Orlando Cinque, Luigi Maria Burruano, Riccardo Scamarcio, Lorenza Indovina, Ivana Lotito, Pierfrancesco Poggi, Marco Leonardi, Anna Ferruzzo, Peppino Mazzotta, Giorgio Marchesi","","October 11, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","","","13/100",1,0,0,0,"High",6,0.25,NA
"TV Show","Salt Fat Acid Heat","","Samin Nosrat","","October 11, 2018",2018,"TV-PG","1 Season","Docuseries","","7.7/10","60/100",1,0,0,0,"Low",6,0.25,0.685
